time_data,waveform
-0.0199999488,-0.964844
-0.0199996416,-0.980469
-0.0199993344,-0.996094
-0.019999027200000002,-0.988281
-0.01999872,-0.980469
-0.0199984128,-1.00391
-0.0199981056,-0.996094
-0.0199977984,-0.980469
-0.019997491200000002,-0.964844
-0.019997184,-0.972656
-0.0199968768,-0.988281
-0.0199965696,-0.980469
-0.0199962624,-0.988281
-0.019995955200000002,-0.972656
-0.019995648,-0.988281
-0.0199953408,-0.988281
-0.0199950336,-1.01953
-0.0199947264,-0.996094
-0.0199944192,-0.957031
-0.019994112,-1.01953
-0.0199938048,-0.972656
-0.0199934976,-0.980469
-0.0199931904,-0.988281
-0.0199928832,-0.980469
-0.019992576,-0.996094
-0.0199922688,-0.988281
-0.0199919616,-0.996094
-0.0199916544,-1.00391
-0.0199913472,-0.996094
-0.01999104,-1.00391
-0.0199907328,-1.00391
-0.0199904256,-0.980469
-0.0199901184,-0.972656
-0.0199898112,-0.972656
-0.019989504,-0.988281
-0.0199891968,-1.00391
-0.0199888896,-0.980469
-0.0199885824,-0.988281
-0.0199882752,-0.996094
-0.019987968000000002,-0.972656
-0.0199876608,-0.972656
-0.0199873536,-0.996094
-0.0199870464,-0.957031
-0.0199867392,-1.00391
-0.019986432000000002,-0.988281
-0.0199861248,-0.988281
-0.0199858176,-0.972656
-0.0199855104,-0.980469
-0.0199852032,-0.957031
-0.019984896000000002,-0.972656
-0.0199845888,-0.980469
-0.0199842816,-0.972656
-0.0199839744,-0.980469
-0.0199836672,-0.972656
-0.01998336,-1.00391
-0.0199830528,-1.00391
-0.0199827456,-1.00391
-0.0199824384,-0.957031
-0.0199821312,-0.957031
-0.019981824,-0.980469
-0.0199815168,-0.972656
-0.0199812096,-0.980469
-0.0199809024,-0.980469
-0.0199805952,-1.00391
-0.019980288,-0.949219
-0.0199799808,-0.980469
-0.0199796736,-0.996094
-0.0199793664,-1.00391
-0.0199790592,-1.00391
-0.019978752,-1.00391
-0.0199784448,-0.996094
-0.0199781376,-0.980469
-0.0199778304,-0.996094
-0.0199775232,-0.988281
-0.019977216,-0.964844
-0.019976908800000002,-0.980469
-0.0199766016,-0.980469
-0.0199762944,-0.972656
-0.0199759872,-0.996094
-0.01997568,-0.980469
-0.019975372800000002,-0.988281
-0.0199750656,-0.980469
-0.0199747584,-0.996094
-0.0199744512,-0.988281
-0.019974144,-0.988281
-0.019973836800000002,-0.972656
-0.0199735296,-1.01953
-0.0199732224,-0.972656
-0.0199729152,-0.964844
-0.019972608,-0.972656
-0.0199723008,-1.00391
-0.0199719936,-0.980469
-0.0199716864,-1.00391
-0.0199713792,-0.996094
-0.019971072,-0.980469
-0.0199707648,-0.980469
-0.0199704576,-0.972656
-0.0199701504,-1.00391
-0.0199698432,-1.00391
-0.019969536,-0.996094
-0.0199692288,-0.988281
-0.0199689216,-0.996094
-0.0199686144,-0.996094
-0.0199683072,-1.00391
-0.019968,-0.972656
-0.0199676928,-0.996094
-0.019967385600000002,-0.988281
-0.0199670784,-0.957031
-0.0199667712,-0.972656
-0.019966464,-0.996094
-0.0199661568,-1.00391
-0.019965849600000002,-0.964844
-0.0199655424,-0.957031
-0.0199652352,-0.988281
-0.019964928,-0.964844
-0.0199646208,-0.988281
-0.019964313600000002,-1.01172
-0.0199640064,-0.996094
-0.0199636992,-0.988281
-0.019963392,-0.964844
-0.0199630848,-0.988281
-0.0199627776,-0.980469
-0.0199624704,-1.00391
-0.0199621632,-1.00391
-0.019961856,-0.957031
-0.0199615488,-0.996094
-0.0199612416,-0.996094
-0.0199609344,-0.996094
-0.0199606272,-0.980469
-0.01996032,-1.00391
-0.0199600128,-1.00391
-0.0199597056,-1.01953
-0.0199593984,-0.996094
-0.0199590912,-0.996094
-0.019958784,-1.00391
-0.0199584768,-0.996094
-0.0199581696,-0.996094
-0.0199578624,-1.00391
-0.0199575552,-0.957031
-0.019957248,-1.00391
-0.0199569408,-0.988281
-0.0199566336,-0.996094
-0.019956326400000002,-1.00391
-0.0199560192,-0.980469
-0.019955712,-0.988281
-0.0199554048,-0.996094
-0.0199550976,-0.996094
-0.019954790400000002,-0.980469
-0.0199544832,-0.996094
-0.019954176,-0.988281
-0.0199538688,-0.996094
-0.0199535616,-1.00391
-0.019953254400000002,-1.00391
-0.0199529472,-0.980469
-0.01995264,-0.996094
-0.0199523328,-0.988281
-0.0199520256,-0.972656
-0.0199517184,-0.972656
-0.0199514112,-0.972656
-0.019951104,-0.996094
-0.0199507968,-1.00391
-0.0199504896,-0.957031
-0.0199501824,-0.980469
-0.0199498752,-0.996094
-0.019949568,-0.988281
-0.0199492608,-0.980469
-0.0199489536,-0.988281
-0.0199486464,-0.957031
-0.0199483392,-0.964844
-0.019948032,-0.996094
-0.0199477248,-0.996094
-0.0199474176,-1.00391
-0.0199471104,-1.00391
-0.0199468032,-1.00391
-0.019946496,-0.957031
-0.0199461888,-0.980469
-0.0199458816,-0.988281
-0.0199455744,-0.996094
-0.019945267200000002,-0.996094
-0.01994496,-0.964844
-0.0199446528,-0.980469
-0.0199443456,-0.996094
-0.0199440384,-1.02734
-0.019943731200000002,-1.00391
-0.019943424,-0.996094
-0.0199431168,-0.980469
-0.0199428096,-1.01172
-0.0199425024,-0.980469
-0.0199421952,-0.972656
-0.019941888,-0.972656
-0.0199415808,-0.996094
-0.0199412736,-1.00391
-0.0199409664,-0.980469
-0.0199406592,-0.988281
-0.019940352,-1.00391
-0.0199400448,-0.996094
-0.0199397376,-1.00391
-0.0199394304,-1.01172
-0.0199391232,-0.996094
-0.019938816,-1.00391
-0.0199385088,-0.996094
-0.0199382016,-0.980469
-0.0199378944,-1.01953
-0.0199375872,-0.996094
-0.01993728,-1.00391
-0.0199369728,-0.972656
-0.0199366656,-1.00391
-0.0199363584,-1.03516
-0.0199360512,-0.980469
-0.019935744000000002,-0.996094
-0.0199354368,-0.972656
-0.0199351296,-1.00391
-0.0199348224,-1.02734
-0.0199345152,-0.996094
-0.019934208000000002,-0.996094
-0.0199339008,-0.996094
-0.0199335936,-0.972656
-0.0199332864,-0.996094
-0.0199329792,-0.988281
-0.019932672000000002,-0.996094
-0.0199323648,-1.00391
-0.0199320576,-0.972656
-0.0199317504,-1.00391
-0.0199314432,-1.00391
-0.019931136,-0.996094
-0.0199308288,-0.996094
-0.0199305216,-1.02734
-0.0199302144,-0.988281
-0.0199299072,-0.988281
-0.0199296,-1.00391
